ESNTL_NO,WRD_NM,AFRM_SCORE_VALUE,NEGA_SCORE_VALUE
"56675","크롭","0.00001","0.00002"
"56676","크뢰거","0.00003","0.00013"
"56677","크루","0.00039","0.00045"
"56678","크루가","0.00001","0.00000"
"56679","크루거","0.00005","0.00007"
"56680","크루그먼","0.00012","0.00007"
"56681","크루소","0.00041","0.00033"
"56682","크루스","0.00006","0.00002"
"56683","크루아","0.00001","0.00000"
"56684","크루아상","0.00016","0.00007"
"56685","크루즈","0.00076","0.00035"
"56686","크루통","0.00001","0.00002"
"56687","크루트","0.00001","0.00000"
"56688","크루프","0.00001","0.00002"
"56689","크룩","0.00002","0.00000"
"56690","크룸","0.00003","0.00013"
"56691","크르르","0.00001","0.00000"
"56692","크르릉","0.00004","0.00006"
"56693","크리","0.00063","0.00065"
"56694","크리거","0.00003","0.00000"
"56695","크리넥스","0.00001","0.00002"
"56696","크리노","0.00002","0.00000"
"56697","크리놀린","0.00001","0.00000"
"56698","크리드","0.00002","0.00002"
"56699","크리머","0.00002","0.00000"
"56700","크리미","0.00003","0.00004"
"56701","크리미널","0.00010","0.00011"
"56702","크리슈나","0.00010","0.00030"
"56703","크리스","0.00140","0.00059"
"56704","크리스마스","0.00893","0.00805"
"56705","크리스찬","0.00022","0.00028"
"56706","크리스챤","0.00015","0.00024"
"56707","크리스천","0.00118","0.00082"
"56708","크리스타","0.00004","0.00000"
"56709","크리스탈","0.00016","0.00022"
"56710","크리스털","0.00020","0.00028"
"56711","크리스텐","0.00001","0.00000"
"56712","크리스텐슨","0.00007","0.00015"
"56713","크리스텔","0.00003","0.00004"
"56714","크리스토","0.00015","0.00015"
"56715","크리스토발","0.00001","0.00000"
"56716","크리스토스","0.00001","0.00004"
"56717","크리스토퍼","0.00089","0.00069"
"56718","크리스토프","0.00047","0.00056"
"56719","크리스트","0.00023","0.00007"
"56720","크리스티","0.00143","0.00216"
"56721","크리스티나","0.00035","0.00058"
"56722","크리스티네","0.00008","0.00007"
"56723","크리스티아나","0.00004","0.00000"
"56724","크리스티아네","0.00003","0.00002"
"56725","크리스티아누","0.00002","0.00002"
"56726","크리스티안","0.00037","0.00028"
"56727","크리스티안순","0.00001","0.00000"
"56728","크리스티앙","0.00009","0.00030"
"56729","크리스틴","0.00085","0.00052"
"56730","크리스프","0.00001","0.00000"
"56731","크리스피","0.00002","0.00002"
"56732","크리스핀","0.00001","0.00000"
"56733","크리시","0.00006","0.00002"
"56734","크리에이터","0.00330","0.00182"
"56735","크리에이티브","0.00072","0.00072"
"56736","크리오","0.00001","0.00000"
"56737","크리올","0.00002","0.00002"
"56738","크리치","0.00001","0.00000"
"56739","크리켓","0.00007","0.00000"
"56740","크리크","0.00002","0.00000"
"56741","크리톤","0.00009","0.00006"
"56742","크리티","0.00001","0.00000"
"56743","크리티아스","0.00001","0.00000"
"56744","크리티컬","0.00005","0.00006"
"56745","크리파","0.00002","0.00000"
"56746","크리퍼","0.00001","0.00000"
"56747","크릭","0.00030","0.00015"
"56748","크린","0.00007","0.00009"
"56749","크릴","0.00010","0.00007"
"56750","크림","0.00798","0.00528"
"56751","크림슨","0.00015","0.00006"
"56752","크립키","0.00001","0.00000"
"56753","크립톤","0.00002","0.00000"
"56754","크립트","0.00001","0.00004"
"56755","크링","0.00002","0.00000"
"56756","크메르","0.00003","0.00006"
"56757","크보스키","0.00002","0.00000"
"56758","크비스트","0.00014","0.00007"
"56759","크산티페","0.00002","0.00000"
"56760","크샤트리아","0.00003","0.00002"
"56761","크세노폰","0.00007","0.00002"
"56762","크세논","0.00000","0.00009"
"56763","크세르크세스","0.00005","0.00002"
"56764","크시","0.00003","0.00002"
"56765","크워스","0.00008","0.00015"
"56766","크으","0.00007","0.00002"
"56767","크윽","0.00002","0.00000"
"56768","크크","0.00031","0.00028"
"56769","크툴루","0.00001","0.00006"
"56770","크흐","0.00004","0.00000"
"56771","큭큭","0.00037","0.00032"
"56772","큰개","0.00002","0.00000"
"56773","큰곰","0.00008","0.00004"
"56774","큰길","0.00001","0.00002"
"56775","큰따옴","0.00003","0.00002"
"56776","큰부리","0.00009","0.00002"
"56777","큰뿔사슴","0.00002","0.00002"
"56778","큰소리치다","0.00018","0.00028"
"56779","큰이","0.00002","0.00006"
"56780","큰일나다","0.00023","0.00028"
"56781","큰코다치다","0.00003","0.00007"
"56782","클라","0.00016","0.00017"
"56783","클라나","0.00001","0.00000"
"56784","클라라","0.00130","0.00080"
"56785","클라리","0.00022","0.00028"
"56786","클라리넷","0.00013","0.00013"
"56787","클라리사","0.00002","0.00004"
"56788","클라리스","0.00007","0.00000"
"56789","클라벨","0.00003","0.00000"
"56790","클라비어","0.00001","0.00009"
"56791","클라센","0.00041","0.00020"
"56792","클라스","0.00043","0.00030"
"56793","클라시코","0.00001","0.00000"
"56794","클라에스","0.00002","0.00000"
"56795","클라우드","0.00168","0.00180"
"56796","클라우디","0.00001","0.00002"
"56797","클라우디아","0.00017","0.00013"
"56798","클라우디오","0.00001","0.00006"
"56799","클라우디우스","0.00004","0.00007"
"56800","클라우스","0.00022","0.00015"
"56801","클라우제비츠","0.00006","0.00009"
"56802","클라우지우스","0.00002","0.00002"
"56803","클라이넨버그","0.00001","0.00000"
"56804","클라이드","0.00002","0.00002"
"56805","클라이맥스","0.00024","0.00046"
"56806","클라이머","0.00003","0.00000"
"56807","클라이머즈","0.00013","0.00007"
"56808","클라이밍","0.00003","0.00007"
"56809","클라이브","0.00010","0.00033"
"56810","클라이스","0.00002","0.00000"
"56811","클라이스트","0.00001","0.00000"
"56812","클라이언트","0.00034","0.00020"
"56813","클라이튼","0.00001","0.00000"
"56814","클라인","0.00025","0.00095"
"56815","클라크","0.00045","0.00058"
"56816","클락","0.00017","0.00019"
"56817","클래런스","0.00007","0.00004"
"56818","클래리","0.00001","0.00004"
"56819","클래버","0.00002","0.00000"
"56820","클래스","0.00124","0.00188"
"56821","클래시","0.00001","0.00006"
"56822","클래식","0.00964","0.00736"
"56823","클래이","0.00001","0.00002"
"56824","클랙","0.00002","0.00002"
"56825","클랜","0.00008","0.00011"
"56826","클랜시","0.00004","0.00002"
"56827","클램","0.00002","0.00000"
"56828","클랩튼","0.00001","0.00000"
"56829","클러리","0.00003","0.00000"
"56830","클러스터","0.00007","0.00004"
"56831","클러치","0.00013","0.00015"
"56832","클러크","0.00001","0.00004"
"56833","클러터","0.00001","0.00000"
"56834","클럭","0.00001","0.00000"
"56835","클럽","0.00982","0.00981"
"56836","클레","0.00023","0.00024"
"56837","클레르","0.00009","0.00004"
"56838","클레르몽","0.00001","0.00002"
"56839","클레리","0.00002","0.00006"
"56840","클레망","0.00007","0.00002"
"56841","클레망스","0.00010","0.00022"
"56842","클레망틴","0.00015","0.00024"
"56843","클레먼츠","0.00002","0.00000"
"56844","클레멘스","0.00003","0.00002"
"56845","클레멘타인","0.00052","0.00011"
"56846","클레멘테","0.00001","0.00002"
"56847","클레멘트","0.00004","0.00009"
"56848","클레멘티","0.00007","0.00000"
"56849","클레버","0.00001","0.00000"
"56850","클레브","0.00003","0.00011"
"56851","클레어","0.00169","0.00102"
"56852","클레어몬트","0.00002","0.00000"
"56853","클레오","0.00005","0.00015"
"56854","클레오파트라","0.00043","0.00009"
"56855","클레온","0.00004","0.00004"
"56856","클레이","0.00086","0.00033"
"56857","클레이본","0.00002","0.00004"
"56858","클레이스테네스","0.00001","0.00015"
"56859","클레이튼","0.00006","0.00004"
"56860","클레인","0.00002","0.00000"
"56861","클레임","0.00013","0.00006"
"56862","클레지오","0.00007","0.00009"
"56863","클레토","0.00002","0.00009"
"56864","클렌","0.00004","0.00007"
"56865","클렌징","0.00007","0.00006"
"56866","클로","0.00040","0.00032"
"56867","클로델","0.00009","0.00017"
"56868","클로뎃","0.00013","0.00000"
"56869","클로드","0.00033","0.00033"
"56870","클로디","0.00002","0.00009"
"56871","클로디아","0.00009","0.00028"
"56872","클로디우스","0.00001","0.00000"
"56873","클로딘","0.00001","0.00004"
"56874","클로렐라","0.00002","0.00002"
"56875","클로로포름","0.00002","0.00000"
"56876","클로르","0.00001","0.00000"
"56877","클로리스","0.00002","0.00000"
"56878","클로버","0.00050","0.00035"
"56879","클로스","0.00090","0.00043"
"56880","클로에","0.00026","0.00022"
"56881","클로이","0.00065","0.00041"
"56882","클로저","0.00007","0.00006"
"56883","클로즈","0.00003","0.00000"
"56884","클로즈드","0.00006","0.00022"
"56885","클로즈업","0.00025","0.00020"
"56886","클로징","0.00008","0.00020"
"56887","클로테르","0.00001","0.00000"
"56888","클로티드","0.00001","0.00002"
"56889","클로틸드","0.00001","0.00000"
"56890","클론","0.00057","0.00033"
"56891","클루","0.00005","0.00000"
"56892","클루니","0.00004","0.00004"
"56893","클루스","0.00002","0.00004"
"56894","클루지","0.00003","0.00000"
"56895","클리","0.00029","0.00035"
"56896","클리너","0.00003","0.00002"
"56897","클리닉","0.00046","0.00041"
"56898","클리닝","0.00015","0.00004"
"56899","클리마","0.00001","0.00000"
"56900","클리브","0.00003","0.00002"
"56901","클리브랜드","0.00001","0.00002"
"56902","클리블랜드","0.00012","0.00009"
"56903","클리셰","0.00032","0.00106"
"56904","클리쉐","0.00002","0.00004"
"56905","클리스","0.00005","0.00007"
"56906","클리어","0.00027","0.00020"
"56907","클리어런스","0.00002","0.00000"
"56908","클리어리","0.00001","0.00004"
"56909","클리어링","0.00001","0.00000"
"56910","클리오","0.00003","0.00002"
"56911","클리오네","0.00001","0.00000"
"56912","클리커","0.00001","0.00007"
"56913","클리크","0.00002","0.00004"
"56914","클리타임네스트라","0.00003","0.00000"
"56915","클리트","0.00000","0.00011"
"56916","클리퍼","0.00003","0.00000"
"56917","클리퍼드","0.00007","0.00000"
"56918","클리포드","0.00001","0.00000"
"56919","클리프","0.00035","0.00082"
"56920","클리프턴","0.00002","0.00002"
"56921","클릭","0.00205","0.00171"
"56922","클린","0.00034","0.00024"
"56923","클린업","0.00003","0.00000"
"56924","클린치","0.00001","0.00002"
